8.375,78000,747,28,68,0.8567949,12,0,0,8.057310000000001,111.42,5.05,1.255,-0.91,-1.01,0.245,42573.11,0.1313275,1.0137969999999998,1.114364,0.7,0.4,-0.85,1.27,0.94,10,0
5.5,130000,770,44,73,4.017308,12,0,0,2.348386,154.68,10.7,-1.28,0.84,0.8,-0.48,65623.54,-0.01832236,0.6783433000000001,1.455006,0.5,0.2,1.11,0.32,-0.71,34,0
7.375,163000,751,22,95,0.7133742,12,0,0,3.899184,159.04,5.6,0.825,-0.31,-0.48,0.345,15783.26,0.04164049,0.9462958,1.529461,1.4,-0.1,-0.35,3.23,1.44,12,0
6.5,108000,742,32,94,2.342222,12,0,0,7.797903999999999,129.48,8.28,0.65,-0.77,-1.11,-0.46,16770.45,0.03881738,0.8594395,1.242092,-0.1,-0.4,0.24,3.37,0.53,24,0
8.125,178000,670,42,90,1.511517,12,0,0,14.44689,119.72,14.43,1.995,-1.19,-1.0,0.995,46306.68,0.07381658,0.9733205,1.172159,0.6,0.0,-0.6,2.82,0.04,24,0
8.875,171000,767,42,95,0.5847953,12,0,0,2.002406,123.32,0.73,1.745,-0.56,-0.75,0.995,11065.52,0.13378470000000006,1.0,1.2405,-0.2,0.2,-1.04,-0.53,-1.61,4,0
5.25,220000,659,35,57,2.268455,12,0,0,18.28997,157.04,33.04,-0.53,0.05,-0.16,-0.69,252159.5,0.09638832,0.9452112,1.320897,-0.4,-0.1,-0.01,1.56,-1.85,19,0
7.375,170000,802,35,52,3.341947,12,0,0,28.22798,85.42,19.07,1.245,-1.87,-1.63,-0.385,235589.9,0.1162537,1.033264,0.8600334000000001,-1.4,-0.3,-0.6,2.82,0.04,39,0
8.125,146000,772,24,80,6.24226,12,0,0,36.05843,138.15,71.62,2.815,-2.69,-2.92,-0.105,140225.7,0.1114464,1.049634,1.62966,0.2,0.1,-1.59,2.5,-0.93,39,0
6.875,133000,666,19,90,2.662707,12,0,0,8.262067,137.72,4.42,0.935,-0.91,-0.97,-0.035,23061.97,0.02166309,0.8799485999999999,1.289466,0.5,0.1,-0.67,3.08,0.11,29,0
5.75,262000,713,30,80,2.209618,12,0,0,51.76778,196.62,77.51,-0.02,0.43,0.37,0.35,200393.7,0.1694348,1.31348,1.302185,-0.8,-0.1,-0.02,0.82,-1.98,18,0
